Model,Train MSE,Test MSE,Train R²,Test R²,Train MAE,Test MAE
Linear Regression,1153885375.6965191,1207165039.2973228,0.6780773419364365,0.6686341176207733,25460.715304038386,26066.054075446915
Spline Regression (square_feet only),3580726871.1616125,3638799041.899178,0.0010124606457039276,0.0011524389229553567,49473.20545593498,49700.390110739274
Multivariate Spline Regression,1148986999.3844256,1207910131.4985893,0.6794439406955489,0.6684295903799329,25394.92502518512,26100.724514539987
Full Decision Tree,0.0,2552430412.9264293,1.0,0.29935979881983343,0.0,37811.24712824669
Pruned Decision Tree,1179775207.6162345,1260412639.6036854,0.6708543337555912,0.6540176919575809,25878.741963449163,26744.95728109479
